county,year,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Baringo,2021,681952.8442230225,101218.939453125,358572.82373046875,19207.84666442871,102.26854862743768,33.58502879963816,28.228279656020177,5.356749143617985,14.84251298466949,2.816594553002124
Bomet,2021,930724.6636962892,122395.767578125,519002.7451171875,24605.57678222656,99.27747007839388,28.323808639424364,23.58287479779877,4.740933841625592,13.150588176318571,2.64370095066652
Bungoma,2021,2059308.5371704104,277789.009765625,1100257.072265625,55367.01763916016,94.95692905157269,30.279835122418948,25.247645915477555,5.032189206941394,13.48943127032924,2.688621769870246
Busia,2021,940737.0647888184,124245.3779296875,510899.62109375,29383.09701538086,91.79248712060873,30.07018768504382,24.31894109917308,5.751246585870743,13.20723745030486,3.1234122811964395
Elgeyo-Marakwet,2021,429897.947265625,59898.1875,235515.2841796875,13347.9228515625,100.5989316878943,31.10036387094055,25.432823907216317,5.66753996372424,13.933117820399865,3.104904998142524
Embu,2021,656693.8172912598,69031.26171875,419801.5102539063,30725.86953735352,100.75568572229808,23.76292815044137,16.44378593993104,7.319142210510334,10.51194025299205,4.678872973723436
Garissa,2021,1043862.9110717772,158393.595703125,525647.3725585938,17423.388122558594,113.98975381723211,33.447705249603494,30.133051922649702,3.314653326953787,15.173792844167222,1.6691260832966353
Homa Bay,2021,1147328.4153137207,164364.83203125,598649.970703125,36706.1594543457,91.79376836941432,33.587405216011994,27.45591582309786,6.131489392914138,14.325874774600328,3.1992722366515194
Isiolo,2021,387405.7144165039,61025.2412109375,202703.1171875,8466.246643066406,110.16830121823472,34.282397240948406,30.105724104128733,4.176673136819669,15.752282152794637,2.1853695823299746
Kajiado,2021,1449325.840927124,208110.5859375,875122.041015625,22211.120223999023,100.67871142343644,26.31880987641433,23.78075013354443,2.5380597428699034,14.35913029773712,1.5325139176288145
Kakamega,2021,1601331.6829833984,202169.115234375,870195.6513671875,54133.68200683594,92.67112047063144,29.453467945803546,23.23260463514633,6.220863310657215,12.625061839638311,3.3805414944379866
Kericho,2021,940156.4408569336,118988.8896484375,544159.4184570312,25197.816345214844,100.77996150529336,26.49714423807916,21.86654969343938,4.63059454463978,12.656286175094596,2.68017270851727
Kiambu,2021,2885358.7883911133,345086.734375,1926344.5625,68793.35870361328,97.81740850806288,21.485257681080785,17.91407109053991,3.571186590540875,11.9599245599339,2.384221989320528
Kilifi,2021,1611039.8990783691,230947.111328125,885874.1005859375,45298.62466430664,94.76799021397328,31.18340809486544,26.06996989474817,5.1134382001172725,14.33528191699308,2.8117630538027467
Kirinyaga,2021,900004.9210510254,87141.0693359375,598972.341796875,44214.06069946289,98.43019496202636,21.930082721573456,14.54842957765302,7.381653143920437,9.682288096177762,4.912646549513277
Kisii,2021,1266089.4833984375,149499.3212890625,713603.294921875,42100.53125,92.24347145935732,26.849631146958025,20.94992026423163,5.899710882726397,11.807958540795743,3.325241367379006
Kisumu,2021,1259052.4340820312,159751.408203125,728608.0966796875,36244.92919921875,95.40280526849448,26.90010422551043,21.92556038439898,4.9745438411114495,12.688225198468317,2.878746604834194
Kitui,2021,1153094.9035644531,133827.630859375,646924.373046875,53150.594970703125,93.79426629020588,28.90264049713428,20.686750481988422,8.215890015145854,11.605951118653488,4.609385992983207
Kwale,2021,979526.990600586,152993.00390625,513377.7607421875,27450.96032714844,96.81262243240444,35.14837962059976,29.80125272373872,5.347126896861043,15.619069752477577,2.8024710488393167
Laikipia,2021,568732.7918243408,75264.19140625,332226.49658203125,20302.59992980957,100.87721975258457,28.76555371689411,22.65448186119202,6.111071855702088,13.233664822600232,3.5697959079666086
Lamu,2021,168000.64891815186,22804.11108398437,97504.68969726562,4842.157707214356,112.77669999443847,28.353783676493283,23.387706944955163,4.966076731538121,13.57382321487002,2.8822255975769497
Machakos,2021,1618010.6434326172,176811.423828125,1033491.259765625,59909.53796386719,101.41218945734968,22.90497955886688,17.108168275000434,5.796811283866441,10.927704619607368,3.7026664940082727
Makueni,2021,1005518.5469360352,102696.087890625,604014.4228515625,49687.594787597656,99.0014875520806,25.22848410784906,17.00225756295603,8.226226544893029,10.2132465088342,4.94148963626809
Mandera,2021,937216.2115478516,179714.869140625,414935.6689453125,9921.782836914062,100.76468634880274,45.70266336937466,43.31150165938397,2.3911617099906946,19.17539057970609,1.0586439622643558
Marsabit,2021,550371.4979553223,84726.208984375,281641.74609375,12195.109283447266,113.64179341257685,34.41298018212119,30.082972485255155,4.3300076968660335,15.394367131862788,2.215795935791216
Meru,2021,1584357.5551757812,181753.3984375,964879.125,64578.85986328125,99.4187991016544,25.52985673731736,18.836908554478264,6.6929481828390935,11.471741201583429,4.0760281448032325
Migori,2021,1236066.456115723,186064.25,638125.9990234375,29439.86334228516,93.14078710012784,33.77140465552008,29.1579171330968,4.6134875224232745,15.052932557097105,2.3817379071023788
Mombasa,2021,1354572.0966033936,170945.11328125,896922.1962890625,18659.04093933105,103.69176776267852,21.13942045419901,19.059079370375773,2.080341083823236,12.619860818770515,1.3774859962137735
Murang'a,2021,1054409.2012329102,115419.486328125,644298.19921875,65183.51959228516,98.93560729269907,28.03096549693947,17.91398555328542,10.11697994365405,10.94636562286882,6.181994572511954
Nairobi,2021,5304513.073028564,656273.953125,3637882.4453125,51348.79959106445,100.9461191174618,19.451501343256805,18.039998900201542,1.4115024430552623,12.371992378752047,0.968020982965498
Nakuru,2021,2452295.315612793,320920.12890625,1467946.1796875,60683.80389404297,100.2213438118863,25.995771376409028,21.86184570980445,4.133925666604581,13.086520488094507,2.4745716189927545
Nandi,2021,934156.0889892578,115844.1142578125,540306.1723632812,27695.454711914062,99.75314554136769,26.566338922594436,21.440457315361435,5.125881607233,12.40093766162291,2.9647566438152864
Narok,2021,1370963.4425048828,228091.310546875,680590.9296875,24921.66320800781,100.46561237525816,37.175484232658846,33.51371588974972,3.6617683429091294,16.637300709501787,1.817821134783399
Nyamira,2021,581896.9125671387,65157.06005859375,331804.552734375,21269.42086791992,92.8266591087648,26.04740658748649,19.637180840841268,6.410225746645219,11.197354488639943,3.655187097330728
Nyandarua,2021,632090.289855957,72174.025390625,380779.84130859375,25664.47393798828,97.78274446588468,25.69424342223055,18.95426636625265,6.739977055977901,11.418309464471012,4.060254420905088
Nyeri,2021,745977.0468444824,75296.46728515625,480414.5205078125,42672.03170776367,97.94526265027106,24.55556482102658,15.67322886193482,8.882335959091757,10.093670791033558,5.720287492526526
Samburu,2021,356952.5718078613,60453.69384765625,174214.56396484375,7740.378448486328,102.7414895232479,39.143726416526256,34.70071185314663,4.44301456337963,16.936057790948475,2.1684613194642512
Siaya,2021,1063102.5363769531,136146.6884765625,573939.5966796875,46617.165283203125,91.14684854916626,31.84374363035369,23.72143153464026,8.12231209571343,12.806543472330484,4.385011199585144
Taita Taveta,2021,364934.3810272217,43405.7001953125,224299.92578125,15245.17887878418,104.34951492143516,26.14841662109881,19.351633775235484,6.796782845863329,11.894110955819952,4.177512361502324
Tana River,2021,668843.0660400391,113753.7578125,331527.50244140625,14113.911254882812,104.794770779168,38.5692493460575,34.31201241972517,4.257236926332315,17.007540869937095,2.110197738678195
Tharaka-Nithi,2021,332252.58140563965,35962.436767578125,201785.5849609375,17046.008895874023,97.6726075387148,26.269689023481902,17.82210397959789,8.447585043884013,10.823824638302028,5.130436857332626
Trans Nzoia,2021,1047640.837249756,142620.9736328125,574462.0263671875,26577.47006225586,98.05396716910036,29.453373056710845,24.82687577014034,4.626497286570504,13.613537059820809,2.536887558910596
Turkana,2021,992471.577545166,145811.25390625,526771.3862304688,18262.453033447266,107.32161981684534,31.147042384704065,27.680177344039684,3.466865040664381,14.691730947792742,1.8400983410143212
Uasin Gishu,2021,1303644.615661621,162698.873046875,796022.3251953125,28466.487731933597,100.46532075253116,24.0150752972794,20.438983668825507,3.5760916284538933,12.480308750732856,2.183607970296904
Vihiga,2021,566868.2031555176,65269.08203125,311911.4228515625,31161.62405395508,92.64353933702864,30.91605469386612,20.92551835214811,9.990536341718007,11.51397832299014,5.49715504953204
Wajir,2021,835943.9398193359,135740.6435546875,408402.4328613281,9092.824340820312,113.90995978277827,35.46341947103082,33.23698211190085,2.2264373591299726,16.23800796785772,1.0877313546630236
West Pokot,2021,715030.4447784424,133285.1015625,337871.3046875,15502.272903442385,98.83766633999932,44.0367004838002,39.44848222188519,4.588218261915011,18.64047923215345,2.16805774028907
Baringo,2022,694676.5583648682,101575.568359375,369362.6015625,19919.638442993164,102.20364257502578,32.89320745749889,27.50023091934156,5.39297653815733,14.621994529146612,2.867469501184849
Bomet,2022,948116.2758789062,122732.7666015625,534192.3686523438,25497.60546875,99.21500454732724,27.74850049697769,22.97538748282604,4.773113014151654,12.944906624220632,2.6892909780621217
Bungoma,2022,2097771.127563477,278617.59765625,1133398.333984375,57456.78967285156,94.87625195991195,29.6519217694328,24.58249578299548,5.069425986437321,13.281601314622884,2.738944631180361
Busia,2022,958340.3802490234,124568.947265625,526120.0102539062,30462.274291992188,91.6890299164902,29.466893206133506,23.676907328711533,5.7899858774219695,12.998403263906704,3.178648726465706
Elgeyo-Marakwet,2022,437916.696105957,60063.111328125,242463.47314453125,13837.87139892578,100.55186404666745,30.479223022182307,24.77202464732561,5.707198374856693,13.715647716156573,3.1599323620165447
Embu,2022,668935.8426513672,68965.22607421875,431074.5908203125,31738.082397460938,100.67551649214126,23.360993808530107,15.998443782775857,7.362550025754248,10.309692152370092,4.744562987037016
Garissa,2022,1063146.5692749023,159094.2802734375,541954.1977539062,18009.997497558594,113.98167067369076,32.67882756605506,29.35566897217391,3.323158593881153,14.964472902541043,1.69402771151695
Homa Bay,2022,1168750.379058838,164900.2578125,616692.3798828125,38092.81948852539,91.65735108831132,32.91642379943131,26.73946738953306,6.17695640989824,14.109108391929642,3.259277615738655
Isiolo,2022,394699.7279815674,61280.7734375,208889.96362304688,8782.531936645508,110.1833086836601,33.54077149468918,29.336389539558937,4.204381955130241,15.525922389376928,2.225117301589743
Kajiado,2022,1476374.0530548096,208680.888671875,899743.68359375,23045.80891418457,100.61905774064506,25.754745691628354,23.193370787373937,2.561374904254416,14.134689528042513,1.5609735802725466
Kakamega,2022,1631203.3630981443,202631.59765625,896069.61328125,56119.11309814453,92.57407591148448,28.876184050801,22.61337675699643,6.2628072938045705,12.422215539783576,3.4403505024387333
Kericho,2022,957724.6194763184,119249.5703125,559766.8203125,26117.69369506836,100.732762556477,25.96925339848018,21.303436714224464,4.66581668425572,12.45134226346874,2.7270567304983198
