county,year,sex,age_code,age_group,population
Mandera,2021,female,05,5-9,92613.78125
Marsabit,2021,female,05,5-9,43705.2578125
Meru,2021,female,05,5-9,89044.875
Migori,2021,female,05,5-9,95194.4453125
Mombasa,2021,female,05,5-9,72427.90625
Murang'a,2021,female,05,5-9,56679.82421875
Nairobi,2021,female,05,5-9,260537.421875
Nakuru,2021,female,05,5-9,148982.921875
Nandi,2021,female,05,5-9,60307.234375
Narok,2021,female,05,5-9,114821.3515625
Nyamira,2021,female,05,5-9,37763.45703125
Nyandarua,2021,female,05,5-9,36382.87109375
Nyeri,2021,female,05,5-9,36612.20703125
Samburu,2021,female,05,5-9,29947.71875
Siaya,2021,female,05,5-9,74194.84375
TaitaTaveta,2021,female,05,5-9,20048.80078125
TanaRiver,2021,female,05,5-9,53722.703125
Tharaka-Nithi,2021,female,05,5-9,18479.595703125
TransNzoia,2021,female,05,5-9,75041.703125
Turkana,2021,female,05,5-9,75504.2265625
UasinGishu,2021,female,05,5-9,77620.765625
Vihiga,2021,female,05,5-9,37951.6171875
Wajir,2021,female,05,5-9,71106.671875
WestPokot,2021,female,05,5-9,61087.78515625
Baringo,2021,female,10,10-14,49348.3828125
Bomet,2021,female,10,10-14,67827.0234375
Bungoma,2021,female,10,10-14,160605.4375
Busia,2021,female,10,10-14,72341.8046875
Elgeyo-Marakwet,2021,female,10,10-14,30190.66015625
Embu,2021,female,10,10-14,35572.21875
Garissa,2021,female,10,10-14,72864.6015625
HomaBay,2021,female,10,10-14,89631.6796875
Isiolo,2021,female,10,10-14,26181.513671875
Kajiado,2021,female,10,10-14,81201.6015625
Kakamega,2021,female,10,10-14,123813.734375
Kericho,2021,female,10,10-14,64600.375
Kiambu,2021,female,10,10-14,131300.15625
Kilifi,2021,female,10,10-14,111494.78125
Kirinyaga,2021,female,10,10-14,43587.90234375
Kisii,2021,female,10,10-14,95172.046875
Kisumu,2021,female,10,10-14,87994.5390625
Kitui,2021,female,10,10-14,85679.4296875
Kwale,2021,female,10,10-14,68600.421875
Laikipia,2021,female,10,10-14,34486.04296875
Lamu,2021,female,10,10-14,10281.7763671875
Machakos,2021,female,10,10-14,88933.0234375
Makueni,2021,female,10,10-14,67445.5390625
Mandera,2021,female,10,10-14,74513.921875
Marsabit,2021,female,10,10-14,39091.43359375
Meru,2021,female,10,10-14,97344.078125
Migori,2021,female,10,10-14,97459.4453125
Mombasa,2021,female,10,10-14,63139.98046875
Murang'a,2021,female,10,10-14,56940.0078125
Nairobi,2021,female,10,10-14,226727.703125
Nakuru,2021,female,10,10-14,150575.375
Nandi,2021,female,10,10-14,64181.0546875
Narok,2021,female,10,10-14,101815.625
Nyamira,2021,female,10,10-14,43715.2265625
Nyandarua,2021,female,10,10-14,39036.06640625
Nyeri,2021,female,10,10-14,36459.7890625
Samburu,2021,female,10,10-14,26159.263671875
Siaya,2021,female,10,10-14,79281.7578125
TaitaTaveta,2021,female,10,10-14,20775.79296875
TanaRiver,2021,female,10,10-14,46983.48046875
Tharaka-Nithi,2021,female,10,10-14,20137.412109375
TransNzoia,2021,female,10,10-14,76742.546875
Turkana,2021,female,10,10-14,70064.96875
UasinGishu,2021,female,10,10-14,80521.5390625
Vihiga,2021,female,10,10-14,41903.72265625
Wajir,2021,female,10,10-14,61720.5390625
WestPokot,2021,female,10,10-14,53050.5703125
Baringo,2021,female,15,15-19,41081.77734375
Bomet,2021,female,15,15-19,59654.86328125
Bungoma,2021,female,15,15-19,136308.265625
Busia,2021,female,15,15-19,64137.859375
Elgeyo-Marakwet,2021,female,15,15-19,26606.5546875
Embu,2021,female,15,15-19,34759.83984375
Garissa,2021,female,15,15-19,59561.078125
HomaBay,2021,female,15,15-19,71954.015625
Isiolo,2021,female,15,15-19,21176.2265625
Kajiado,2021,female,15,15-19,68968.953125
Kakamega,2021,female,15,15-19,105958.9609375
Kericho,2021,female,15,15-19,57374.74609375
Kiambu,2021,female,15,15-19,136077.890625
Kilifi,2021,female,15,15-19,98159.15625
Kirinyaga,2021,female,15,15-19,43369.42578125
Kisii,2021,female,15,15-19,78495.875
Kisumu,2021,female,15,15-19,78055.296875
Kitui,2021,female,15,15-19,77932.40625
Kwale,2021,female,15,15-19,56175.33203125
Laikipia,2021,female,15,15-19,30931.6171875
Lamu,2021,female,15,15-19,8757.6865234375
Machakos,2021,female,15,15-19,83434.6484375
Makueni,2021,female,15,15-19,62627.8515625
Mandera,2021,female,15,15-19,55528.9609375
Marsabit,2021,female,15,15-19,30929.958984375
Meru,2021,female,15,15-19,89217.1171875
Migori,2021,female,15,15-19,78181.6640625
Mombasa,2021,female,15,15-19,61795.53125
Murang'a,2021,female,15,15-19,52495.5
Nairobi,2021,female,15,15-19,240793.890625
Nakuru,2021,female,15,15-19,136904.28125
Nandi,2021,female,15,15-19,58598.76171875
Narok,2021,female,15,15-19,74250.8515625
Nyamira,2021,female,15,15-19,35200.0625
Nyandarua,2021,female,15,15-19,37080.3125
Nyeri,2021,female,15,15-19,36333.90625
Samburu,2021,female,15,15-19,19596.78125
Siaya,2021,female,15,15-19,65244.61328125
TaitaTaveta,2021,female,15,15-19,18929.13671875
TanaRiver,2021,female,15,15-19,35637.265625
Tharaka-Nithi,2021,female,15,15-19,18890.1171875
TransNzoia,2021,female,15,15-19,66884.8671875
Turkana,2021,female,15,15-19,58250.7734375
UasinGishu,2021,female,15,15-19,77316.125
Vihiga,2021,female,15,15-19,36708.7265625
Wajir,2021,female,15,15-19,46589.453125
WestPokot,2021,female,15,15-19,40273.05078125
Baringo,2021,female,20,20-24,31265.38671875
Bomet,2021,female,20,20-24,44543.4375
Bungoma,2021,female,20,20-24,88616.5390625
Busia,2021,female,20,20-24,42481.078125
Elgeyo-Marakwet,2021,female,20,20-24,19901.875
Embu,2021,female,20,20-24,27557.5078125
Garissa,2021,female,20,20-24,44823.6015625
HomaBay,2021,female,20,20-24,52244.9453125
Isiolo,2021,female,20,20-24,16949.76953125
Kajiado,2021,female,20,20-24,82142.671875
Kakamega,2021,female,20,20-24,67062.40625
Kericho,2021,female,20,20-24,45351.5859375
Kiambu,2021,female,20,20-24,172707.234375
Kilifi,2021,female,20,20-24,77808.5546875
Kirinyaga,2021,female,20,20-24,33668.046875
Kisii,2021,female,20,20-24,55952.203125
Kisumu,2021,female,20,20-24,65668.5546875
Kitui,2021,female,20,20-24,45784.0078125
Kwale,2021,female,20,20-24,43144.9609375
Laikipia,2021,female,20,20-24,23901.53125
Lamu,2021,female,20,20-24,6880.060546875
Machakos,2021,female,20,20-24,77412.5703125
Makueni,2021,female,20,20-24,38651.65625
Mandera,2021,female,20,20-24,38614.5625
Marsabit,2021,female,20,20-24,23602.4765625
Meru,2021,female,20,20-24,67507.234375
Migori,2021,female,20,20-24,60056.66796875
Mombasa,2021,female,20,20-24,82257.71875
Murang'a,2021,female,20,20-24,36661.75
Nairobi,2021,female,20,20-24,362965.75
Nakuru,2021,female,20,20-24,119961.8359375
Nandi,2021,female,20,20-24,42630.96875
Narok,2021,female,20,20-24,61401.4921875
Nyamira,2021,female,20,20-24,23220.1640625
Nyandarua,2021,female,20,20-24,23652.6875
Nyeri,2021,female,20,20-24,28580.55078125
Samburu,2021,female,20,20-24,16715.333984375
Siaya,2021,female,20,20-24,45526.7421875
TaitaTaveta,2021,female,20,20-24,15193.158203125
TanaRiver,2021,female,20,20-24,29449.9375
Tharaka-Nithi,2021,female,20,20-24,13487.9072265625
TransNzoia,2021,female,20,20-24,45794.61328125
Turkana,2021,female,20,20-24,45452.71875
UasinGishu,2021,female,20,20-24,71632.515625
Vihiga,2021,female,20,20-24,21175.208984375
Wajir,2021,female,20,20-24,33162.01171875
WestPokot,2021,female,20,20-24,31840.1953125
Baringo,2021,female,25,25-29,24144.470703125
Bomet,2021,female,25,25-29,36338.7109375
Bungoma,2021,female,25,25-29,69922.3359375
Busia,2021,female,25,25-29,33652.22265625
Elgeyo-Marakwet,2021,female,25,25-29,15452.748046875
Embu,2021,female,25,25-29,22965.7578125
Garissa,2021,female,25,25-29,38305.40625
HomaBay,2021,female,25,25-29,42162.1953125
Isiolo,2021,female,25,25-29,13812.34375
Kajiado,2021,female,25,25-29,75610.5390625
Kakamega,2021,female,25,25-29,54169.72265625
Kericho,2021,female,25,25-29,38510.21484375
Kiambu,2021,female,25,25-29,154185.796875
Kilifi,2021,female,25,25-29,65344.57421875
Kirinyaga,2021,female,25,25-29,29988.263671875
Kisii,2021,female,25,25-29,50574.5078125
Kisumu,2021,female,25,25-29,55245.08984375
Kitui,2021,female,25,25-29,35816.18359375
Kwale,2021,female,25,25-29,37703.765625
Laikipia,2021,female,25,25-29,20075.033203125
Lamu,2021,female,25,25-29,5747.63427734375
Machakos,2021,female,25,25-29,69095.796875
Makueni,2021,female,25,25-29,32770.375
Mandera,2021,female,25,25-29,29691.98046875
Marsabit,2021,female,25,25-29,18685.9140625
Meru,2021,female,25,25-29,56365.05859375
Migori,2021,female,25,25-29,47157.6484375
Mombasa,2021,female,25,25-29,78833.71875
Murang'a,2021,female,25,25-29,32110.67578125
Nairobi,2021,female,25,25-29,348793.25
Nakuru,2021,female,25,25-29,103139.515625
Nandi,2021,female,25,25-29,35273.078125
Narok,2021,female,25,25-29,50494.15625
Nyamira,2021,female,25,25-29,22670.45703125
Nyandarua,2021,female,25,25-29,19430.607421875
Nyeri,2021,female,25,25-29,24286.201171875
Samburu,2021,female,25,25-29,12776.06640625
Siaya,2021,female,25,25-29,38033.92578125
TaitaTaveta,2021,female,25,25-29,13288.04296875
TanaRiver,2021,female,25,25-29,24394.458984375
Tharaka-Nithi,2021,female,25,25-29,11302.421875
TransNzoia,2021,female,25,25-29,37034.484375
Turkana,2021,female,25,25-29,38194.8125
UasinGishu,2021,female,25,25-29,58126.5
Vihiga,2021,female,25,25-29,16761.134765625
Wajir,2021,female,25,25-29,29786.03515625
WestPokot,2021,female,25,25-29,24410.90625
Baringo,2021,female,30,30-34,19463.96875
Bomet,2021,female,30,30-34,33745.59765625
Bungoma,2021,female,30,30-34,64876.01171875
Busia,2021,female,30,30-34,30444.6328125
Elgeyo-Marakwet,2021,female,30,30-34,13206.22265625
Embu,2021,female,30,30-34,23628.97265625
Garissa,2021,female,30,30-34,28193.56640625
HomaBay,2021,female,30,30-34,40304.1015625
Isiolo,2021,female,30,30-34,11890.8310546875
Kajiado,2021,female,30,30-34,61012.3203125
Kakamega,2021,female,30,30-34,53258.71484375
Kericho,2021,female,30,30-34,35424.3046875
Kiambu,2021,female,30,30-34,131117.984375
Kilifi,2021,female,30,30-34,56033.9609375
Kirinyaga,2021,female,30,30-34,34849.65234375
Kisii,2021,female,30,30-34,50673.46484375
Kisumu,2021,female,30,30-34,48324.609375
Kitui,2021,female,30,30-34,36489.61328125
Kwale,2021,female,30,30-34,32268.724609375
Laikipia,2021,female,30,30-34,19550.8046875
Lamu,2021,female,30,30-34,5284.84521484375
Machakos,2021,female,30,30-34,63540.2890625
Makueni,2021,female,30,30-34,33022.44921875
Mandera,2021,female,30,30-34,22719.59765625
Marsabit,2021,female,30,30-34,14595.2294921875
Meru,2021,female,30,30-34,57821.8515625
Migori,2021,female,30,30-34,41050.9453125
Mombasa,2021,female,30,30-34,63223.8359375
Murang'a,2021,female,30,30-34,34088.3671875
Nairobi,2021,female,30,30-34,273654.96875
Nakuru,2021,female,30,30-34,93923.3046875
Nandi,2021,female,30,30-34,33756.19921875
Narok,2021,female,30,30-34,42167.0234375
Nyamira,2021,female,30,30-34,24087.6484375
Nyandarua,2021,female,30,30-34,20753.1484375
Nyeri,2021,female,30,30-34,26154.35546875
Samburu,2021,female,30,30-34,9979.064453125
Siaya,2021,female,30,30-34,36024.36328125
TaitaTaveta,2021,female,30,30-34,12057.6875
TanaRiver,2021,female,30,30-34,18547.23828125
Tharaka-Nithi,2021,female,30,30-34,11525.2998046875
TransNzoia,2021,female,30,30-34,33659.15234375
Turkana,2021,female,30,30-34,29191.306640625
UasinGishu,2021,female,30,30-34,49674.16015625
Vihiga,2021,female,30,30-34,16711.58203125
Wajir,2021,female,30,30-34,23631.431640625
WestPokot,2021,female,30,30-34,19618.203125
Baringo,2021,female,35,35-39,15460.7294921875
Bomet,2021,female,35,35-39,20144.52734375
Bungoma,2021,female,35,35-39,48754.87109375
Busia,2021,female,35,35-39,22948.2421875
Elgeyo-Marakwet,2021,female,35,35-39,10192.216796875
Embu,2021,female,35,35-39,24059.634765625
Garissa,2021,female,35,35-39,26170.15234375
HomaBay,2021,female,35,35-39,27147.01171875
Isiolo,2021,female,35,35-39,9129.7451171875
Kajiado,2021,female,35,35-39,47338.1796875
Kakamega,2021,female,35,35-39,40215.8984375
Kericho,2021,female,35,35-39,22797.052734375
Kiambu,2021,female,35,35-39,117425.765625
Kilifi,2021,female,35,35-39,39061.234375
